current_x,current_y,v_lineal,w_lineal
0.1542246848856502,0.14861710813162404,0.15,[-0.00463554]
0.15771638914436018,0.15212585705971005,0.15,[-0.00281618]
0.161208513151908,0.15563403726469885,0.15,[-0.00171868]
0.1648065994216971,0.1592480763587799,0.15,[-0.0011093]
0.16829869090859717,0.16275536277301997,0.15,[-0.00073385]
0.17178868389658003,0.16626091266819185,0.15,[-7.73141042e-05]
0.17536323966231812,0.16984956782551214,0.15,[0.00504726]
0.17882739298438888,0.17332280766197683,0.15,[0.01136673]
0.18231908743096473,0.1768211804291571,0.15,[0.01063558]
0.1859182039998517,0.18042881058218058,0.15,[0.00711575]
0.18941085454528825,0.18393208232727845,0.15,[0.00398691]
0.192903971199364,0.18743759856502332,0.15,[0.00204508]
0.1965037874234522,0.1910512353060441,0.15,[0.00113523]
0.19999823140946318,0.19455954682204551,0.15,[0.00086648]
0.20349270338201236,0.19806799549544557,0.15,[0.00081837]
0.2070927341325015,0.20168245239012786,0.15,[0.00074512]
0.2105858444723179,0.2051898853566864,0.15,[0.00050221]
0.2140723802455775,0.20869163380899247,0.15,[-0.00072129]
0.21763723342026675,0.2122740898752711,0.15,[-0.00604039]
0.22111551737399,0.21577234384721664,0.15,[-0.00780233]
0.22460550992757472,0.21928198376585636,0.15,[-0.00631872]
0.22820218285267554,0.2228975805846454,0.15,[-0.00428946]
0.23169386633689498,0.22640633309224653,0.15,[-0.00277136]
0.23518591620595247,0.2299145714156583,0.15,[-0.00182107]
0.23878391633853008,0.23352868728197376,0.15,[-0.00122886]
0.2422757526514587,0.23703600257894147,0.15,[-0.00078835]
0.2457631640576018,0.24053897721367168,0.15,[0.0003982]
0.24933086045963865,0.2441196875739631,0.15,[0.00668509]
0.2528026640429214,0.24759942029696363,0.15,[0.01117017]
0.2562969875096218,0.25110063532146326,0.15,[0.00942638]
0.25989598977884,0.25470862304885017,0.15,[0.00618412]
0.26338889159088746,0.25821242758000146,0.15,[0.00360824]
0.2668824146810407,0.26171836691073236,0.15,[0.00207816]
0.2704825215848604,0.2653321578409265,0.15,[0.0013416]
0.27397706912757114,0.26884039010423205,0.15,[0.00106453]
0.277471507878539,0.27234866502284927,0.15,[0.00093267]
0.2810713748575832,0.2759628806812046,0.15,[0.00076438]
0.28456389456153425,0.279469943275637,0.15,[0.00042021]
0.28804456355367497,0.2829660471002913,0.15,[-0.00159749]
0.2916079787797596,0.2865479761484183,0.15,[-0.0067333]
0.2950931436172719,0.2900532715308505,0.15,[-0.00716123]
0.2985830291667209,0.29356264551309014,0.15,[-0.0056133]
0.3021797886816757,0.2971781457131621,0.15,[-0.00389644]
0.30567144913108457,0.3006868603789015,0.15,[-0.00266105]
0.30916342622080223,0.30419512273355254,0.15,[-0.00186007]
0.3127613209178164,0.307809264636476,0.15,[-0.00130301]
0.3162527440063301,0.31131646272879687,0.15,[-0.00080122]
0.3197348572514792,0.3148138937940269,0.15,[0.00134819]
0.32329874858255425,0.31838950612558564,0.15,[0.00807951]
0.32677964796490705,0.32187742948845843,0.15,[0.01047386]
0.33027414090667845,0.32537907581253117,0.15,[0.00835263]
